,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest,glasslexical,glasslexical,glasslexical,memoryfaces,memoryscenes,memorywords,motor,motor,rest
,func01,func01,func01,func01,func01,func01,func01,func01,func02,func02,func02,func02,func02,func02,func02,func02,func04,func04,func04,func04,func04,func04,func04,func04,func05,func05,func05,func05,func05,func05,func05,func05,func06,func06,func06,func06,func06,func06,func06,func06,func07,func07,func07,func07,func07,func07,func07,func07,func08,func08,func08,func08,func08,func08,func08,func08,func09,func09,func09,func09,func09,func09,func09,func09,func10,func10,func10,func10,func10,func10,func10,func10,func10
,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,3,0,0,0,1,2,0
