,ArchiSocial,ArchiSocial,ArchiSpatial,ArchiSpatial,ArchiStandard,ArchiStandard,ArchiEmotional,ArchiEmotional,ArchiSocial,ArchiSocial,ArchiSpatial,ArchiSpatial,ArchiStandard,ArchiStandard,HcpEmotion,HcpEmotion,HcpGambling,HcpGambling,HcpLanguage,HcpLanguage,HcpMotor,HcpMotor,HcpRelational,HcpRelational,HcpSocial,HcpSocial,HcpWm,HcpWm,RSVPLanguage,RSVPLanguage,RSVPLanguage,RSVPLanguage,RSVPLanguage,RSVPLanguage,ClipsTrn,ClipsTrn,ClipsTrn,ClipsVal,ClipsVal,ClipsVal,ClipsTrn,ClipsTrn,ClipsTrn,ClipsVal,ClipsVal,ClipsVal,ClipsTrn,ClipsTrn,ClipsTrn,ClipsVal,ClipsVal,ClipsVal
,00,00,00,00,00,00,01,01,01,01,01,01,01,01,04,04,04,04,04,04,04,04,05,05,05,05,05,05,06,06,06,06,06,06,07,07,07,07,07,07,08,08,08,08,08,08,09,09,09,09,09,09
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,1,2,3,1,2,2,3,1,6,4,5,5,6,4,9,7,8,8,9,7
